,emotion,gender,actor_id,intensity,statement,repetition,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40
12,happy,male,1,01,01,01,-616.1367,73.989075,-5.612793,14.566868,4.5197744,-3.8280938,-7.030733,-8.178227,-13.892967,-3.1425695,-1.8347383,-8.218003,1.0897971,-5.707018,-2.9523382,2.3759913,-9.5676365,-3.492208,-3.0170002,-3.032112,-6.996414,-0.15401082,-3.6122751,-5.5995774,-3.2356377,-2.3165615,-6.115536,0.20279557,-4.83521,-1.3289824,-3.4197001,-3.182158,-3.0847423,-4.359793,-4.96314,-2.7922258,-2.9150474,-0.92296064,-2.413197,-0.9695561
13,happy,male,1,01,01,02,-601.02,73.71425,-7.142499,18.018578,7.6638527,-1.9836943,-7.730342,-5.682049,-16.004135,-1.6102889,0.20392556,-7.5068254,3.873856,-4.7345595,-2.736714,3.6645718,-9.231106,-3.2308083,0.37015235,-2.0413213,-7.295741,-0.16759637,-4.372072,-6.5829487,-0.73436034,-1.3135661,-4.246603,-0.770664,-4.478012,-1.4435349,-1.8944819,-4.020631,-1.9677851,-3.4679806,-3.6276124,-1.8587618,-1.3443514,-2.3628926,-2.7604785,-1.1814468
14,happy,male,1,01,02,01,-624.1426,73.20094,-2.9849496,15.253688,2.033355,-0.27825776,-6.6547213,-8.6123905,-16.168875,-3.9341972,2.776278,-8.272647,2.255594,-4.782274,-0.72194105,1.905955,-7.9459333,-2.3812857,-1.1908724,-3.9018836,-5.922452,-2.3207679,-2.8354514,-4.452953,-2.913625,-0.5198487,-6.052693,1.4038392,-3.197667,-0.87107706,-2.8846624,-2.7405617,-2.868613,-4.4013195,-4.2753286,-2.1497471,-2.0675006,-1.4099271,-4.3288116,-2.6689928
15,happy,male,1,01,02,02,-607.8641,69.66942,-0.69582266,21.833483,2.0618675,-0.17839256,-3.9301245,-8.634003,-17.164713,-5.2714367,0.26509506,-6.399935,2.6937387,-5.658616,-1.4491727,1.0056691,-9.389977,-3.1343074,-1.9691656,-3.5088248,-7.084035,-2.0347242,-3.3759427,-5.431683,-3.6853797,0.098079,-7.9559793,0.3786894,-4.865133,-0.817077,-3.7811697,-2.7363658,-3.5359168,-3.6825576,-4.62905,-2.2974508,-2.856305,-3.0255582,-5.6505446,-2.42604
16,happy,male,1,02,01,01,-559.3498,59.434597,-7.3483286,6.731324,-1.6105077,-1.6446794,-15.297956,-10.8014145,-12.724634,-10.259271,-0.9808685,-8.853123,-2.5251477,-4.815952,-7.8318186,-0.6855194,-9.563294,-4.254345,-3.7189465,-6.3081384,-6.753067,-3.7187626,-5.278647,-6.0989165,-4.4028516,-1.802731,-2.3074837,3.2584705,0.9699653,0.8144747,-2.798042,-1.4597551,-1.7789572,1.6586232,1.4441354,6.197428,2.7241244,0.9207122,-1.577102,-0.9087699
17,happy,male,1,02,01,02,-525.63245,65.39656,-13.422568,7.114838,2.4793038,-2.894315,-13.134979,-8.312349,-17.194006,-9.487422,3.260013,-9.445167,-1.709908,-2.5320828,-7.8684645,0.450096,-8.710567,-6.7232747,-2.7868094,-5.5558443,-7.425419,-4.999535,-4.1822944,-5.460987,-2.7530372,1.0446014,-5.2807765,0.83612025,-1.1316181,-3.0014799,-1.3383193,1.9318854,1.0149279,1.7291298,-0.40419194,4.946807,4.8868237,6.389384,2.1026235,0.05458685
18,happy,male,1,02,02,01,-460.33026,63.159615,-13.468572,9.937035,-0.07539403,-3.2403305,-13.818609,-12.049683,-23.861622,-6.4673867,-0.104217,-12.272019,0.17549796,-5.2150364,-9.269622,2.2708857,-12.546608,-5.184422,-3.1558406,-6.288768,-9.308995,-3.2842011,-6.3665113,-7.1282487,-5.502723,-3.8811312,-7.686899,-2.397824,-6.656608,-2.5885377,-0.4318849,-0.46020672,2.279659,1.1547878,0.6360322,2.2901688,4.036098,2.9850206,1.3245143,2.9429226
19,happy,male,1,02,02,02,-475.0104,64.74805,-11.6566105,8.972135,-1.3624594,-4.3265204,-12.8541,-12.519541,-22.508833,-9.462559,-2.3589678,-9.268343,-0.5677207,-3.740056,-10.146372,0.1973273,-11.131612,-7.457004,-3.4312642,-4.0856085,-10.389316,-3.643865,-5.62061,-8.4046135,-5.6802435,-2.3884034,-8.855572,-2.6576178,-5.4910474,-4.0513577,-3.8324237,-2.5375054,-3.8434289,1.8160138,-0.5659532,4.73807,1.8876506,1.7308263,0.9016104,2.9001405
20,sad,male,1,01,01,01,-634.87775,77.04579,-2.8813233,18.228151,8.792021,-3.5449212,-2.923571,-10.810565,-13.933831,-5.671137,-5.5116515,-2.236655,-1.2557415,-8.325458,-2.6647878,-1.7315232,-7.075952,-5.9192863,-3.9966412,-1.0787857,-8.653606,-3.0007675,-3.3646183,-6.336575,-2.6068738,-2.3765152,-5.824426,-1.6907818,-3.1245558,-2.4756916,-3.048692,-2.808999,-3.268582,-2.9380739,-5.929226,-3.6716669,-2.9941452,-3.0002751,-4.748886,-3.5988865
21,sad,male,1,01,01,02,-670.48425,72.873276,-5.122416,16.831568,8.073151,-1.8720027,-0.5634689,-9.439885,-12.27223,-6.3696413,-1.7951287,-2.1579027,-1.9174446,-4.019978,-0.82004905,-1.0795552,-4.4997125,-3.168274,-1.8992167,-0.03345482,-7.971951,-1.5145024,-1.4623287,-5.0189357,-1.5053788,-1.4203627,-4.5484543,-1.1193113,-3.7687902,-1.0662379,-1.5668805,-2.068692,-2.52447,-1.6422298,-4.4274507,-0.1641653,-2.0172532,-2.477526,-4.0564156,-3.261261
22,sad,male,1,01,02,01,-707.9433,70.332085,-3.9816368,16.394806,7.665537,-2.1531868,-2.0609136,-8.838734,-12.73049,-4.445475,-1.147331,-1.585549,-1.4445822,-3.8576822,-3.1639438,-0.28633496,-5.2824993,-7.181724,-0.7982676,-0.54649854,-7.220852,-2.4526753,-3.4026446,-5.1541767,-1.9493814,-0.901592,-3.502442,-0.042039726,-3.7990975,0.21056965,-2.9764135,-4.1611133,-2.1258526,-1.6026567,-3.6401584,-0.99439436,-0.97101,-2.4562793,-4.884325,-3.2111259
23,sad,male,1,01,02,02,-681.6502,69.696846,0.46915486,18.170815,6.8703127,-0.44826308,1.3564289,-8.938222,-14.520136,-4.707396,-2.8978689,-3.0332134,-0.1426187,-4.8859487,-3.056107,2.1999576,-3.744821,-5.2094474,-2.0449781,-0.241541,-7.8430214,-2.47625,-2.398621,-4.3600006,-2.43996,-0.75774604,-5.1975703,-2.790206,-2.8006513,-0.08250826,-2.109564,-1.934762,-2.4254668,-2.9693751,-4.8703504,-1.9857113,-2.5730886,-2.0088472,-3.2734528,-3.0102918
24,sad,male,1,02,01,01,-624.8101,77.52801,0.09783766,19.884455,8.857916,-3.2568476,-2.2237504,-10.291403,-12.763717,-2.6949506,-3.904852,-4.157227,-0.90798914,-7.24711,-2.4668372,0.57413507,-6.842411,-4.4614463,-3.7321234,-0.6985969,-6.781902,-1.8096282,-3.318017,-6.629781,-2.819338,-1.5284666,-4.887973,0.3363165,-2.5647573,-0.6175801,-3.788155,-1.454337,-4.1448655,-2.48268,-5.1396904,-1.8882734,-2.8223004,-3.6318288,-3.686525,-4.283858
25,sad,male,1,02,01,02,-587.73987,62.540543,-6.062553,12.954742,4.5477104,-4.493005,-10.604273,-8.7653885,-18.683168,-5.4651866,-2.7438278,-8.550165,0.38453674,-5.978398,-6.3351927,1.3707366,-11.189714,-4.1348557,-0.84806895,-3.2920992,-8.0812,-2.4947405,-8.7715845,-4.790197,-4.6818633,-1.8375654,-5.729276,-2.7981436,-3.2232602,-1.6797478,-3.5090322,-3.6319323,-4.1926837,-2.524725,-4.7274237,1.0487725,-0.7372233,-2.215904,-4.0107474,-2.272119
26,sad,male,1,02,02,01,-577.98413,67.7605,-7.037594,16.87673,4.9397554,-3.4777806,-8.413762,-11.454425,-22.813314,-5.9835224,-2.87467,-8.92794,0.4575787,-6.957,-4.669178,1.829595,-8.2997675,-5.654137,-3.5582285,-3.1966136,-9.203224,-4.816774,-3.3349087,-7.4401956,-5.82428,-1.3806409,-8.370971,-1.8472549,-4.4240556,-2.2289817,-4.3265185,-3.152255,-4.21475,-3.3816926,-4.9842606,-2.8926265,-0.9237007,-0.7284995,-0.7197323,-0.32175797
27,sad,male,1,02,02,02,-557.87836,62.92364,-5.1800895,16.349602,2.8336828,-3.8141267,-8.793596,-11.089685,-19.799898,-4.8437257,-1.6096737,-7.6002574,0.584358,-7.919229,-4.7873898,1.747889,-9.882435,-5.459357,-3.4665058,-3.3617272,-8.584868,-2.6624315,-3.3549588,-7.0483427,-4.042422,-1.4286569,-7.349901,-0.14223166,-6.040752,-1.1384003,-4.3413706,-3.277176,-4.806124,-3.8904321,-4.938908,-2.529762,-1.8988774,-3.0847507,-3.9164908,-2.558452
28,angry,male,1,01,01,01,-490.88266,54.25925,-7.4870563,15.928641,-1.8539724,-3.7620168,-5.56719,-1.9980389,-15.838935,-6.1874022,-1.1881499,-6.118937,-0.9479344,-5.944806,-4.269844,-2.3766725,-7.8854322,-2.577199,-5.113807,-4.347992,-6.7218223,-3.2926989,-5.567199,-5.2388186,-4.341762,-1.6398294,-6.2198873,1.593617,-2.930426,-1.0795166,0.028551953,-0.5605455,-2.76548,-2.2101161,-3.2277918,-0.03012446,-1.7449636,-0.47193122,-4.556301,-1.5693076
29,angry,male,1,01,01,02,-467.40607,52.420807,-7.031423,10.8307705,-4.4285545,-4.906848,-9.143121,-11.159565,-17.296751,-8.546915,-5.92051,-8.759364,-4.677646,-6.181968,-6.1003737,-4.014664,-11.021619,-2.4491906,-7.340503,-5.613894,-5.990827,-3.4721646,-2.7792344,-1.6105299,-2.8825755,-0.21246004,-4.124021,-0.28249934,-4.044201,-2.558202,-1.9458947,-2.7863116,-3.1022503,-2.5781817,-3.0257728,1.8418628,-0.08399423,3.4406376,-0.5158193,1.1878487
30,angry,male,1,01,02,01,-547.852,53.038635,-2.0177119,13.761202,-0.44743583,-2.0050333,-6.0413804,-7.5075965,-15.572764,-4.4823604,-4.1543255,-5.0845604,-1.071108,-6.2513943,-2.5614452,-0.6266862,-8.949374,-3.1533513,-2.5529606,-5.0702133,-7.302488,-2.5135822,-3.83079,-5.648984,-3.9197464,-2.3185258,-5.907876,-1.1890646,-3.0683215,-2.2971222,-1.3586402,-1.4731318,-0.9899927,-1.1038347,-2.9271228,0.13577816,-1.0961784,-0.6152867,-2.600343,-0.5058864
31,angry,male,1,01,02,02,-488.1695,54.694916,-3.3864207,10.768423,0.121067695,-4.39837,-5.445421,-8.1943865,-18.647003,-6.212215,-3.171641,-7.064699,0.15659931,-6.5233245,-5.5365644,1.0029279,-11.33697,-1.7971029,-2.1439152,-6.0620465,-7.720646,-0.81195265,-5.34292,-4.437901,-3.8787217,-3.2865832,-7.040501,-1.9070435,-3.9496136,-1.5069284,-1.152414,-1.3249354,-0.043549407,-2.3342497,-3.320681,0.81641555,-1.5101765,1.3624227,-1.9196768,-1.7709217
32,angry,male,1,02,01,01,-281.9608,38.79511,-25.80307,0.33637837,-16.025085,-7.020027,-17.174591,-16.689875,-17.486822,-11.457616,-8.344426,-6.4184804,-9.525339,-8.518447,-6.8829803,-1.9056754,-10.116425,2.852041,2.3586233,5.036193,4.073009,6.5173197,5.8161106,0.50820875,0.11043085,0.84720975,-3.174466,3.2679214,2.1567721,-1.5196707,-0.5537949,-1.2045083,1.7810968,0.87819564,-3.2669334,2.5988185,1.7862191,1.583717,-3.3368995,-0.32830122
33,angry,male,1,02,01,02,-302.81027,42.156296,-22.560316,4.5147657,-11.462321,-9.415368,-14.791269,-8.066681,-22.015171,-11.771349,-7.8800097,-12.188114,-7.0418053,-5.675289,-8.486818,-5.4493494,-17.249435,-8.477712,-7.9987087,-10.332306,-8.854511,-1.5720155,-2.052761,2.8131204,7.420609,7.0504603,1.8536471,4.936385,-2.7083962,1.5019981,4.96396,3.2426546,-1.120311,-0.48797402,-3.0886908,3.3524528,1.9990171,1.5982523,-2.9082038,-0.18081401
34,angry,male,1,02,02,01,-329.68204,37.055607,-18.648388,6.549638,-9.69645,-6.251557,-13.36595,-8.641983,-21.028406,-8.458946,-4.560714,-10.382032,-3.6614401,-5.9766197,-7.696667,-0.7375308,-13.345436,-2.6788092,-4.848446,-5.5952826,-4.244586,-0.098897144,-2.3763938,-0.09666161,0.21520175,2.9356773,-0.6522835,0.5122574,-1.2488645,1.2540886,0.8388851,1.2002752,-1.8619778,0.7428739,-0.87544096,3.5796962,1.7076281,4.155754,0.92293507,2.9183989
35,angry,male,1,02,02,02,-203.71127,31.237106,-29.7649,-4.1967,-16.171604,-10.366575,-24.22453,-15.5820465,-22.46269,-13.666406,-3.8765845,-12.2436075,-8.562599,-6.6336803,-5.9647584,-1.6022564,-8.183718,2.6915336,6.972529,2.297976,0.6034603,3.243782,1.9122958,2.6968155,1.0177813,-1.4852362,-6.2742853,-1.2933086,-1.9117943,-0.27756613,-2.7942626,-2.52876,-1.556143,0.25205982,-1.7292385,1.5849131,0.46256307,2.8834336,-2.1163964,-2.4053993
36,fear,male,1,01,01,01,-556.8871,65.23701,-0.8844127,15.528003,9.315155,-3.4577765,-4.75956,-9.590001,-14.681815,-2.4063623,-4.3896494,-1.3501874,2.8211205,-5.950896,0.2973821,4.581794,-6.4379387,-3.3915462,-1.7722455,-2.5688562,-6.8432937,-0.9326841,-3.9576643,-4.7166314,-2.1382685,-0.5423282,-4.793309,0.70975775,-5.084687,-0.9220818,-2.3872392,-1.9862175,-3.4390883,-1.6219785,-5.0305634,-2.3776696,-1.0525193,-0.9781049,-1.4736573,0.29152927
37,fear,male,1,01,01,02,-567.487,65.36763,-8.041981,10.584494,4.971397,-5.184732,-9.513165,-14.307925,-19.514025,-4.8828053,-4.1978416,-7.547044,-0.6028596,-8.201453,-2.8359308,2.7335048,-9.388875,-5.6641273,-3.4752736,-4.1663733,-7.3732896,-2.0395932,-5.7081776,-6.1352124,-4.208549,-2.3768969,-6.9168544,-1.0877365,-4.5618896,-3.299412,-4.882916,-1.8697984,-3.2395096,1.0426626,-1.4028859,1.5495741,1.860205,1.6359075,-2.1753232,0.3999116
38,fear,male,1,01,02,01,-589.57043,65.85815,5.001099,19.115839,8.962849,2.2062826,-3.1085525,-7.925137,-11.226555,-1.3120211,-1.8129705,-1.4567817,1.5219244,-3.889041,-0.21205306,3.4482949,-3.8070805,-2.5991201,0.5249795,2.1992974,-7.1305637,-0.9666946,-2.4380462,-4.136274,-3.6149902,-0.43760645,-4.6607456,0.42927364,-3.175651,-1.2889688,-2.3439043,-1.1812258,-3.2494988,-2.0938494,-4.460516,-1.9593049,-1.0032171,-1.560655,-3.8304586,-2.798908
39,fear,male,1,01,02,02,-572.24146,73.2304,-4.453161,18.55243,8.006945,-0.5232409,-4.976837,-13.243358,-13.188245,-1.2169545,-1.4427079,-1.7660651,0.091265164,-4.5880623,0.9486864,0.47156498,-3.6352065,-4.3751264,-0.31326717,1.804372,-8.524257,0.28375855,-3.5729864,-4.476092,-2.719838,-1.9265733,-6.0300803,0.27667528,-4.644814,-1.3391187,-3.1704261,-0.7512247,-5.2249494,-2.9012597,-5.6857753,-1.2584717,-0.80267125,-2.702006,-4.1529126,-3.7433002
40,fear,male,1,02,01,01,-381.20517,46.21375,-16.112617,11.222985,0.36505643,2.1569881,-8.653439,-11.128906,-17.983055,-5.915207,-0.61622655,-4.382983,-1.8227851,-4.6169214,-3.6953332,7.3431034,-4.2366157,-7.111952,-1.6815706,-3.042918,-9.075515,0.28423023,-1.9224771,0.10837273,0.63557035,7.518637,0.2721452,5.078389,4.3855786,0.9734948,6.2910295,6.464178,2.3303049,4.8571825,-2.2527204,1.0797628,3.4325092,4.5862064,0.5062135,2.7642055
41,fear,male,1,02,01,02,-345.00552,53.832165,-23.191202,-2.9327543,1.2612118,-2.2451472,-14.61324,-17.309965,-22.679379,-11.397805,-7.083717,-12.531209,-9.080574,-8.487774,-6.491276,2.773384,-12.10728,-10.076799,-3.2833776,-5.0582123,-9.542676,-2.6077785,1.1848422,4.3669276,6.184859,10.785544,3.162818,5.892459,3.5916526,5.881636,8.695486,5.88287,0.38548678,-0.21831489,-3.0244372,2.830983,3.3751836,1.1134936,-3.8008177,-1.7252666
42,fear,male,1,02,02,01,-327.22842,38.10477,-20.152472,-1.2656239,-8.63289,-4.8855953,-13.674495,-19.788267,-20.102554,-11.717585,-5.8508706,-10.589451,-9.681366,-8.227258,-8.597699,3.9817805,-12.332334,-7.4992647,-2.8675168,-2.4843855,-5.666286,-1.1533219,1.1256677,3.86119,7.8538375,14.166328,6.32716,7.7791333,0.8076835,0.45314673,1.7253755,3.8434975,3.5352387,0.5524953,-3.3429608,2.3689625,3.3272963,2.6127625,-1.2796069,-0.82791835
43,fear,male,1,02,02,02,-372.55228,51.752296,-19.79276,0.4040319,-2.402372,0.48074055,-16.220163,-15.567817,-19.226673,-13.107581,1.3469814,-9.818463,-8.820349,-8.300779,-7.1668115,3.1241066,-11.655761,-8.318049,-1.568809,-6.4425497,-9.16103,-2.5886474,-0.92269623,1.2676567,2.5136192,8.458217,4.39282,8.428198,6.013502,4.352053,4.771456,3.5892591,1.6481382,2.3794918,-1.8079562,5.5781546,1.102527,0.8876696,-2.7002602,1.0796397
44,disgust,male,1,01,01,01,-608.10876,74.05153,-3.7700226,12.9895115,4.8434834,-0.29351935,-9.097124,-8.4314375,-17.472172,-5.6186976,-0.87693447,-10.050179,-2.0687003,-8.900199,-1.4770006,-3.8332918,-8.542457,-3.8639297,-5.618012,-3.0695407,-7.0514984,0.5529024,-7.1326275,-3.2201824,-2.9133127,-2.4756935,-4.1189704,-0.53682137,-3.921601,0.9125014,-2.0191698,0.85082126,-2.268557,0.068172164,-2.6712153,-0.37102032,-2.4030533,0.28695142,-3.6497047,-1.5190768
45,disgust,male,1,01,01,02,-570.6642,64.86812,-1.0601845,5.253758,4.0684137,-0.17848793,-11.513788,-8.216217,-16.826479,-5.7203794,0.08673765,-7.555612,-4.1504335,-5.872661,-2.5720303,-3.243529,-7.0203023,-3.481053,-2.5431163,-0.62166405,-6.5244083,0.8930841,-8.106054,-2.6590352,-2.8516655,-1.8080579,-5.797596,0.5675034,-2.505935,1.6103783,-2.4924612,0.93011534,-2.6437595,-1.167438,-1.7762377,1.9525921,-0.36796516,1.7902914,-2.058799,-1.2057018
46,disgust,male,1,01,02,01,-618.00977,81.75966,5.1432557,17.117785,2.1418347,4.1539726,-6.3790884,-14.638542,-9.802097,-3.2726498,-3.2458754,-4.1042876,-1.3867999,-7.0451407,-1.9322543,0.26514992,-7.9521804,-3.0350342,-2.6299198,-3.6688445,-10.200774,-0.3523989,-3.5615385,-5.085666,-5.4984856,-2.8122284,-5.3488345,-2.1896956,-3.4652057,-2.1633418,-5.0448036,-2.0846362,-5.3577523,-2.2937584,-5.7624207,-1.6528167,-3.0594254,-3.6189659,-6.4400353,-3.3960721
47,disgust,male,1,01,02,02,-615.58765,69.54795,-1.4478816,13.171683,-0.5882066,4.2653694,-7.17142,-13.238632,-9.752041,-2.0670478,-0.040096577,-5.2221737,-0.7594036,-8.1720705,-1.753723,-0.032991014,-7.716242,-3.2985306,-1.8464549,-2.456936,-7.5991096,-2.3206677,-4.4117374,-4.511954,-5.375691,-1.6348438,-5.499183,-0.79974186,-2.4468281,-2.3038588,-4.104646,-2.1760046,-4.6502376,-2.3784773,-5.674202,-2.720064,-2.5612729,-0.80983037,-4.1596866,-2.0882215
48,disgust,male,1,02,01,01,-434.45212,53.705257,-3.9677885,-7.0210414,-10.349296,-2.1920695,-15.132009,-20.78881,-17.664001,-10.190953,-5.4927387,-5.026477,-9.43798,-7.408103,-6.6130857,-8.085607,-9.279678,-3.7129188,-9.083761,-5.7248573,-11.2539215,-4.020912,-3.3162475,0.6332503,0.53845704,0.7603788,-0.72082174,4.2468886,1.849807,3.3433769,1.7738497,4.5945573,0.29379973,2.4531612,2.2749357,2.2955704,-0.42639482,0.9303962,-2.4442022,-0.6022925
